id1,name1,age1,id12,id13,id21,name2,age2,id31,name3,age3
43,Llh,40,15,33,15,ZEa,50,33,kqP,42
44,njR,38,5,32,5,mnk,38,32,Wny,44
45,kmN,39,71,50,71,hbh,37,50,THL,42
90,kBl,29,71,87,71,hbh,37,87,vav,40
46,wrt,25,51,56,51,tCy,44,56,wfq,49
47,mNo,36,57,61,57,vZf,24,61,oXQ,24
48,bDV,50,61,90,61,RQB,24,90,ftk,22
49,Fij,40,19,91,19,cxz,33,91,wfq,29
50,Llh,43,62,75,62,TtH,21,75,pTy,24
52,hzE,24,4,47,4,QyS,44,47,SbJ,42
53,tkA,49,21,83,21,WyC,24,83,jXz,40
54,erE,25,0,10,0,RQB,42,10,xXS,29
55,jmX,31,80,93,80,FEH,24,93,oXQ,39
56,xkd,37,60,80,60,xGc,38,80,YvV,33
57,dSJ,43,25,18,25,VQK,38,18,ubB,44
58,mTL,24,83,60,83,TtH,35,60,obp,35
59,WSo,38,90,78,90,RQB,46,78,SbJ,24
60,Jao,27,14,57,14,ZEa,29,57,fNs,37
61,fWi,29,75,89,75,mnk,29,89,YRG,24
62,NHX,26,24,22,24,PLX,33,22,TOU,30
64,Jao,38,28,82,28,ZEa,28,82,fNs,23
65,IdA,42,16,24,16,cxz,21,24,Svg,41
66,tha,30,69,3,69,VQK,50,3,iQw,43
67,MZD,21,84,65,84,ZEa,38,65,ikw,42
68,GNi,31,93,53,93,yXt,46,53,iRh,49
69,IdA,47,85,11,85,cxz,33,11,xXS,49
70,MZz,42,40,19,40,mnk,28,19,Bqm,25
72,njR,33,40,52,40,mnk,28,52,vKq,47
71,MZD,21,12,70,12,Vdl,38,70,AfC,30
73,wOF,26,38,28,38,Vdl,24,28,MYX,29
74,Vtd,29,65,71,65,hbh,50,71,AfC,44
75,EDK,47,42,48,42,PLX,39,48,WKc,36
76,fuB,28,2,2,2,VQK,42,2,YRG,41
94,NHX,42,2,85,2,VQK,42,85,moZ,41
77,wOF,41,45,86,45,vZf,46,86,ubB,47
78,kBl,33,22,34,22,hbh,33,34,Haq,42
79,tkA,33,35,41,35,FEH,28,41,szY,44
80,MiD,34,66,40,66,yXt,35,40,szY,24
81,wOF,22,6,97,6,TtH,44,97,wRK,47
82,PdT,28,3,88,3,QyS,38,88,THL,42
83,RfA,36,79,73,79,WyC,29,73,YRG,24
84,UFx,21,73,1,73,WyC,29,1,YRG,39
85,ZoL,38,11,20,11,RQB,50,20,Haq,20
86,fvE,22,44,29,44,ieg,42,29,xXS,49
87,JSI,47,27,94,27,WyC,21,94,kqP,26
88,bwA,30,48,12,48,cxz,50,12,JnE,41
89,tbK,40,47,43,47,cxz,38,43,Haq,49
91,jmX,44,37,17,37,TtH,46,17,ubB,43
92,MZz,44,82,16,82,RQB,39,16,Inc,24
93,Fij,37,89,63,89,FEH,24,63,wfq,24
95,ySf,42,39,14,39,QyS,29,14,ftk,41
96,MZz,36,41,55,41,mnk,39,55,cDz,41
97,zri,43,77,0,77,QyS,39,0,Mzs,44
98,ZoL,25,8,72,8,Vdl,24,72,Svg,22
99,wFd,21,67,84,67,QyS,35,84,YvV,25
